i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
34,-0.258941,0.808675,-1.50047,-0.526241,1.41771,6.45729,1.07528,34,Advanced Pure
35,0.277587,0.634202,-0.893158,0.236964,1.40095,1666.89,1.00067,35,Differentiation
36,0.228763,0.773818,-1.30295,0.506162,1.18744,5.05958,1.09165,36,Exponentials and Logarithms
37,0.197698,0.7469,-1.26301,0.412916,1.2309,8.854,1.05538,37,Integration
38,-0.598919,0.898845,-1.2292,-1.17733,1.24512,1.82785,1.39073,38,Matrices
39,-0.293975,0.711008,-1.14309,-0.615614,1.19215,3.30671,1.15732,39,Sequences and Series
40,0.197305,0.759074,-1.47085,0.409894,1.35137,9.20929,1.05273,40,Advanced Trigonometry
41,-0.166704,0.682379,-1.30519,-0.275074,1.19574,251.507,1.01527,41,Advanced Vectors
42,-1.02988,0.337499,-1.65414,-0.759494,-0.759256,1.31821,1.84358,42,Rounding and Estimating
43,-0.253323,0.786223,-1.30907,-0.494383,1.29845,8.15,1.06509,43,Advanced Algebra
44,-2.54044,0.304603,-2.74903,-2.73927,-1.963,1.79902,1.41288,44,Basic Arithmetic
45,-1.02603,0.477262,-1.98498,-0.944689,-0.307642,205.58,1.01638,45,Functions
46,-0.331277,0.780531,-1.2208,-0.730664,1.3706,2.61537,1.21089,46,Advanced Statistics
47,-1.9441,0.356114,-2.23712,-2.17045,-1.26273,1.83966,1.38594,47,Expanding Brackets
48,-4.48106,2.07801,-6.52399,-3.88874,-1.78781,1.02783,6.43648,48,Factorising
49,-5.88458,3.3589,-9.22936,-4.17517,-2.06223,1.01391,13.852,49,Solving Equations
50,-5.75205,3.14845,-8.88258,-4.36814,-2.0494,1.01544,11.7154,50,Formula
51,-4.15049,2.33822,-6.46556,-4.29131,-1.28028,1.01985,8.53315,51,Other Graphs
52,-0.672914,0.502027,-1.61107,-0.280167,-0.279828,1.3625,1.76373,52,2D Names and Properties of Shapes
53,-2.87074,1.22037,-4.05218,-3.07941,-1.17353,1.04521,4.63346,53,3D Shapes
54,-1.74055,0.294322,-2.09139,-1.87564,-1.15031,3.44672,1.16088,54,Perimeter and Area
55,-0.24734,0.94009,-1.74399,0.600387,0.600606,1.135,2.61062,55,Algebraic Fractions
56,-3.35553,1.48341,-4.80284,-3.43056,-1.33285,1.03687,5.29003,56,Pythagoras
57,-2.62852,0.670604,-3.20048,-3.20008,-1.44579,1.21321,2.13727,57,Similarity and Congruency
58,-3.42674,1.09103,-4.49013,-3.41476,-1.92605,1.03842,5.19324,58,Transformations
59,-0.60336,0.583952,-1.44201,-0.723656,0.557014,37.2784,1.02759,59,Kinematics
60,0.0540065,0.620968,-1.06574,0.0942376,1.05137,1420.75,0.999459,60,Advanced Measures of Variation
61,0.101784,0.625912,-1.12615,0.216853,1.05994,51.8351,1.02127,61,Permutations and Combinations
62,0.562852,0.905837,-1.24812,1.09342,1.43761,2.08765,1.30095,62,Regression
63,0.667651,1.31759,-1.26082,1.93829,1.93879,1.04942,4.37599,63,Money
64,-2.72124,0.725133,-3.3718,-3.37099,-1.5404,1.14253,2.54801,64,Data Processing
65,-5.38713,3.59957,-8.97694,-2.69727,-1.41923,1.01224,18.7793,65,Data Representation
66,-2.95507,0.868333,-3.74266,-3.72878,-1.5049,1.1261,2.68172,66,Probability
67,-0.333393,0.873916,-1.35567,-0.644849,1.31484,5.55319,1.09157,67,Radians
68,0.498221,0.763437,-1.11896,0.933498,1.26867,2.18019,1.279,68,Roots of Polynomials
69,0.868702,1.13809,-1.2101,1.797,1.79717,1.28158,1.90978,69,Forces and Motion
