i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
45,-0.322532,0.709804,-1.55425,-0.331643,0.860919,747.26,0.998227,45,Functions
46,-0.0144935,0.986737,-1.70434,0.0363781,1.57693,1666.89,0.998957,46,Advanced Statistics
47,-0.311411,0.379618,-0.936099,-0.314247,0.282816,549.204,1.00242,47,Expanding Brackets
48,-0.230275,0.372019,-0.906481,-0.229009,0.36046,412.326,1.00227,48,Factorising
49,-0.475562,0.24796,-0.894201,-0.459345,-0.0856797,325.05,1.00399,49,Solving Equations
50,-1.01937,0.299402,-1.51765,-0.996501,-0.562139,168.505,1.00292,50,Formula
51,-1.04447,0.455919,-1.8386,-1.03259,-0.354393,464.806,1.00186,51,Other Graphs
52,-0.732593,0.406977,-1.42548,-0.715021,-0.090557,419.843,1.00711,52,2D Names and Properties of Shapes
53,0.251099,0.481549,-0.513528,0.242869,1.04612,648.08,0.998306,53,3D Shapes
54,-0.372109,0.275243,-0.832839,-0.376022,0.0985739,285.153,1.0052,54,Perimeter and Area
55,-0.735364,0.558767,-1.6327,-0.742436,0.116757,522.069,0.998965,55,Algebraic Fractions
56,-0.798434,0.453294,-1.56807,-0.780903,-0.0508333,239.904,1.01116,56,Pythagoras
57,-0.792765,0.471378,-1.5277,-0.812318,0.000851976,712.935,0.998333,57,Similarity and Congruency
58,-1.08154,0.33948,-1.66871,-1.069,-0.558492,227.422,1.01481,58,Transformations
59,0.381804,0.960971,-1.12964,0.384062,1.99502,1532.45,0.996937,59,Kinematics
60,0.0275996,1.03937,-1.78123,0.0700813,1.69704,1044.85,0.998152,60,Advanced Measures of Variation
61,-0.00804472,1.02518,-1.72651,-0.00793152,1.74621,1396.3,0.997345,61,Permutations and Combinations
62,-0.0548595,1.02761,-1.694,-0.0456534,1.65678,1189.16,0.997536,62,Regression
63,0.442366,0.465974,-0.278457,0.436651,1.30223,608.58,1.00194,63,Money
64,-0.486827,0.363133,-1.08925,-0.482098,0.112693,426.37,1.00288,64,Data Processing
65,-0.314211,0.268924,-0.766872,-0.312054,0.126142,261.576,1.00216,65,Data Representation
66,-0.0384276,0.316339,-0.554392,-0.0538281,0.510957,347.921,1.00491,66,Probability
67,0.00537719,0.918328,-1.62596,0.0267406,1.55011,1156.23,0.998772,67,Radians
68,0.0299342,0.996515,-1.59772,0.0455726,1.62681,1063.58,0.997359,68,Roots of Polynomials
69,0.317146,0.969644,-1.2871,0.273536,1.87098,1186.31,1.00122,69,Forces and Motion
